block_lgd,dtname,dtcode11,block_name,object_id,max,mean,count,sum
03399,Jajapur,382,DASARATHAPUR,21-382-03399,0.3395861086845398,0.33949985547909894,209,70.95546979513168
03400,Jajapur,382,JAJPUR,21-382-03400,0.33845942618846897,0.32169097381072204,184,59.19113918117286
03401,Jajapur,382,KOREI,21-382-03401,0.33845942618846897,0.24691180099180032,277,68.39456887472869
03402,Jajapur,382,RASULPUR,21-382-03402,0.38295907135009766,0.33371057904941936,142,47.38690222501755
03403,Jajapur,382,SUKINDA,21-382-03403,0.38295907135009766,0.28312668423892157,438,124.00948769664765
03404,Jharsuguda,371,JHARSUGUDA,21-371-03404,0.2836325466156006,0.2746711335912069,375,103.00167509670257
03405,Jharsuguda,371,KIRMIRA,21-371-03405,0.2836325466156006,0.24570943966167796,177,43.490570820117
03406,Jharsuguda,371,KOLABIRA,21-371-03406,0.2819621964931488,0.28167808587332277,207,58.307363775777816
03407,Jharsuguda,371,LAIKERA,21-371-03407,0.2819621964931488,0.2349564114555148,262,61.55857980134488
03408,Jharsuguda,371,LAKHANPUR,21-371-03408,0.28037271275520326,0.21936948161540804,849,186.2446898914814
03409,Kalahandi,395,BHAWANIPATNA,21-395-03409,0.35695281898975373,0.28329792958242794,710,201.14153000352383
03410,Kalahandi,395,DHARAMAGARH,21-395-03410,0.31275998449325565,0.2639236031457649,337,88.94225426012277
03411,Kalahandi,395,GOLAMUNDA,21-395-03411,0.34194618399143223,0.20018237226455224,631,126.31507689893246
03412,Kalahandi,395,JAYAPATNA,21-395-03412,0.303037171959877,0.20423923874301433,441,90.06950428566932
03413,Kalahandi,395,JUNAGARH,21-395-03413,0.303037171959877,0.2653701680530399,549,145.6882222611189
03414,Kalahandi,395,KALAMPUR,21-395-03414,0.303037171959877,0.24469841069431306,125,30.58730133678913
03415,Kalahandi,395,KARLAMUNDA,21-395-03415,0.5807518789768219,0.5189765829592607,178,92.37783176674841
03416,Kalahandi,395,KESINGA,21-395-03416,0.5807518789768219,0.365753620922754,506,185.0713321869135
03417,Kalahandi,395,KOKASARA,21-395-03417,0.31275998449325565,0.2673561720439924,427,114.16108546278477
03418,Kalahandi,395,LANJIGARH,21-395-03418,0.5034929812908173,0.36352822661328094,864,314.08838779387474
03419,Kalahandi,395,MADANPUR RAMPUR,21-395-03419,0.6577639455318451,0.5934429543664326,740,439.1477862311601
03420,Kalahandi,395,NARALA,21-395-03420,0.5807518789768219,0.4384886349393981,350,153.47102222878934
03421,Kalahandi,395,THUAMUL RAM PUR,21-395-03421,0.3201976746559143,0.248839581991678,963,239.6325174579859
03422,Kandhamal,390,BALIGUDA,21-390-03422,0.6577639455318451,0.5534833791139476,741,410.1311839234352
03423,Kandhamal,390,CHAKAPAD,21-390-03423,0.5166947062492371,0.31116281982067434,374,116.3748946129322
03424,Kandhamal,390,DARINGIBADI,21-390-03424,0.5139769481658936,0.39969797862662254,1148,458.8532794633627
03425,Kandhamal,390,G.UDAYAGIRI,21-390-03425,0.5166947062492371,0.32038092409378993,179,57.348185412788396
03426,Kandhamal,390,K.NUAGAN,21-390-03426,0.5166947062492371,0.4439262829438861,547,242.8276767703057
03427,Kandhamal,390,KHAJURIPADA,21-390-03427,0.5166947062492371,0.26497335636381314,539,142.82063908009528
03428,Kandhamal,390,KOTAGARH,21-390-03428,0.5139769481658936,0.4311683914174852,736,317.3399360832691
03429,Kandhamal,390,PHIRINGIA,21-390-03429,0.6577639455318451,0.4082432066233686,953,389.05577591207026
03430,Kandhamal,390,PHULBANI,21-390-03430,0.5166947062492371,0.3076809097705514,373,114.76497934441568
03431,Kandhamal,390,RAIKIA,21-390-03431,0.5166947062492371,0.3564933764651353,458,163.27396642103196
03432,Kandhamal,390,TIKABALI,21-390-03432,0.5166947062492371,0.459033764122694,234,107.4139008047104
03433,Kandhamal,390,TUMUDIBANDH,21-390-03433,0.5139769481658936,0.5004095236328441,653,326.7674189322472
03434,Kendrapara,379,AUL,21-379-03434,0.40528286542892455,0.353311791006278,196,69.24911103723049
03435,Kendrapara,379,DERABISH,21-379-03435,0.40528286542892455,0.4043196724804242,150,60.64795087206363
03436,Kendrapara,379,GARADAPUR,21-379-03436,0.5202367807745933,0.42464591757111386,114,48.40963460310698
03437,Kendrapara,379,KENDRAPADA,21-379-03437,0.40528286542892455,0.40523845951040777,217,87.93674571375848
03438,Kendrapara,379,MAHAKALAPADA,21-379-03438,0.4789203311920166,0.32601565968178137,455,148.33712515521052
03439,Kendrapara,379,MARSAGHAI,21-379-03439,0.4789203311920166,0.41094286189596785,129,53.01162918457985
03440,Kendrapara,379,PATTAMUNDAI,21-379-03440,0.40528286542892455,0.3928564980931202,236,92.71413354997637
03441,Kendrapara,379,RAJKANIKA,21-379-03441,0.38591285786628726,0.34959614995670324,225,78.65913374025823
03442,Kendrapara,379,RAJNAGAR,21-379-03442,0.38591285786628726,0.3591125809722672,473,169.8602507998824
03443,Kendujhar,375,ANANDAPUR,21-375-03443,0.35850234109163287,0.26883424587537413,489,131.45994623305796
03444,Kendujhar,375,BANSAPAL,21-375-03444,0.3380737717628479,0.3073108797422197,1125,345.72473970999715
03445,Kendujhar,375,CHAMPUA,21-375-03445,0.3512001591205597,0.2827936879573724,390,110.28953830337525
03446,Kendujhar,375,GHASIPURA,21-375-03446,0.2815027877807617,0.267778213119729,322,86.22458462455273
03447,Kendujhar,375,GHATGAON,21-375-03447,0.27077942583560943,0.19887403038251014,736,146.37128636152747
03448,Kendujhar,375,HARICHADANPUR,21-375-03448,0.28941353240013123,0.2524683850434632,882,222.67711560833456
03449,Kendujhar,375,HATADIHI,21-375-03449,0.35850234109163287,0.2709503259177271,380,102.96112384873629
03450,Kendujhar,375,JHUMPURA,21-375-03450,0.3512001591205597,0.3171941859718358,410,130.04961624845268
03451,Kendujhar,375,JODA,21-375-03451,0.3342718762755394,0.2742744939086994,587,160.99912792440654
03452,Kendujhar,375,KENDUJHAR SADAR,21-375-03452,0.3512001591205597,0.3052729338438351,491,149.88901051732302
03453,Kendujhar,375,PATANA,21-375-03453,0.4560972731590271,0.32739626201266575,373,122.11880573072433
03454,Kendujhar,375,SAHARAPADA,21-375-03454,0.4560972731590271,0.4213331993170904,281,118.3946290081024
03455,Kendujhar,375,TELKOI,21-375-03455,0.3682685049057007,0.2724358272797102,770,209.77558700537685
03456,Khordha,386,BALIANTA,21-386-03456,0.573655602645874,0.5013401038310107,119,59.659472355890266
03457,Khordha,386,BALIPATNA,21-386-03457,0.49882478213310244,0.4848743386435509,120,58.18492063722611
03458,Khordha,386,BANAPUR,21-386-03458,0.36257373580932617,0.3274293874039436,423,138.50263087186815
03459,Khordha,386,BEGUNIA,21-386-03459,0.573655602645874,0.3918954189736219,336,131.67686077513696
03460,Khordha,386,BHUBANESWAR,21-386-03460,0.573655602645874,0.5370619816999047,392,210.52829682636263
03461,Khordha,386,BOLAGARH,21-386-03461,0.4080617363929749,0.38828591375667343,211,81.92832780265809
03462,Khordha,386,CHILIKA,21-386-03462,0.31304706010818484,0.3130470601081848,99,30.991658950710296
03463,Khordha,386,JATNI,21-386-03463,0.573655602645874,0.5513598778854489,191,105.30973667612075
03464,Khordha,386,KHORDHA,21-386-03464,0.573655602645874,0.39644244868347156,257,101.88570931165219
03465,Khordha,386,TANGI,21-386-03465,0.3945806341528893,0.3449804982304573,336,115.91344740543366
03466,Koraput,398,BANDHUGAON,21-398-03466,0.5550882363796235,0.38328028014245646,358,137.21434029099942
03467,Koraput,398,BOIPARIGUDA,21-398-03467,0.5816733331680298,0.5679089856652845,916,520.2046308694006
03468,Koraput,398,BORIGUMMA,21-398-03468,0.5422206788778305,0.3908121425252074,547,213.77424196128845
03469,Koraput,398,DASAMANTAPUR,21-398-03469,0.6381491936683655,0.37509352953087466,805,301.9502912723541
03470,Koraput,398,JEYPORE,21-398-03470,0.6020850348234177,0.5250412804550986,408,214.2168424256802
03471,Koraput,398,KORAPUT,21-398-03471,0.6381491936683655,0.5717033445177548,467,266.9854618897915
03472,Koraput,398,KOTPAD,21-398-03472,0.5680679203152657,0.5323159562141722,410,218.2495420478106
03473,Koraput,398,KUNDURA,21-398-03473,0.579602951335907,0.5579772414190429,322,179.66867173693183
03474,Koraput,398,LAMTAPUT,21-398-03474,0.6454997165203095,0.5455006670888353,552,301.11636823303706
03475,Koraput,398,LAXMIPUR,21-398-03475,0.6381491936683655,0.3914605670189512,414,162.0646747458458
03476,Koraput,398,NANDAPUR,21-398-03476,0.6454997165203095,0.5642990560601289,592,334.0650411875963
03477,Koraput,398,NARAYAN PATANA,21-398-03477,0.6381491936683655,0.5270589646986772,467,246.13653651428223
03478,Koraput,398,POTTANGI,21-398-03478,0.6454997165203095,0.5703042467223688,446,254.3556940381765
03479,Koraput,398,SEMILIGUDA,21-398-03479,0.6454997165203095,0.6217749044078092,480,298.45195411574844
03480,Malkangiri,399,KALIMELA,21-399-03480,0.634632243013382,0.515108707673322,1026,528.5015340728283
03481,Malkangiri,399,KHAIRAPUT,21-399-03481,0.5382630489826202,0.5313050035854783,396,210.3967814198494
03482,Malkangiri,399,KORUKONDA,21-399-03482,0.5482980489134789,0.4617304162054803,857,395.7029666880966
03483,Malkangiri,399,CHITRAKONDA,21-399-03483,0.5382630489826202,0.3624003872697955,877,317.82513963561064
03484,Malkangiri,399,MALKANGIRI,21-399-03484,0.5482980489134789,0.4997545000179732,514,256.87381300923823
